secid,date,days,volatility,index_flag
108105,2012-02-02,1825,0.266936,1
108105,2012-02-03,10,0.111018,1
108105,2012-02-03,14,0.100269,1
108105,2012-02-03,30,0.084717,1
108105,2012-02-03,60,0.147665,1
108105,2012-02-03,91,0.203014,1
108105,2012-02-03,122,0.226929,1
108105,2012-02-03,152,0.244607,1
108105,2012-02-03,182,0.29227,1
108105,2012-02-03,273,0.26003,1
108105,2012-02-03,365,0.23306,1
108105,2012-02-03,547,0.205675,1
108105,2012-02-03,730,0.206545,1
108105,2012-02-03,1825,0.266909,1
108105,2012-02-06,10,0.105985,1
108105,2012-02-06,14,0.100805,1
108105,2012-02-06,30,0.085609,1
108105,2012-02-06,60,0.139246,1
108105,2012-02-06,91,0.202761,1
108105,2012-02-06,122,0.225575,1
108105,2012-02-06,152,0.241758,1
108105,2012-02-06,182,0.274639,1
108105,2012-02-06,273,0.259977,1
108105,2012-02-06,365,0.233044,1
108105,2012-02-06,547,0.205648,1
108105,2012-02-06,730,0.205494,1
108105,2012-02-06,1825,0.26712,1
108105,2012-02-07,10,0.097161,1
108105,2012-02-07,14,0.099283,1
108105,2012-02-07,30,0.08346,1
108105,2012-02-07,60,0.13397,1
108105,2012-02-07,91,0.201583,1
108105,2012-02-07,122,0.224196,1
108105,2012-02-07,152,0.241052,1
108105,2012-02-07,182,0.267033,1
108105,2012-02-07,273,0.259819,1
108105,2012-02-07,365,0.232971,1
108105,2012-02-07,547,0.205611,1
108105,2012-02-07,730,0.205293,1
108105,2012-02-07,1825,0.267121,1
108105,2012-02-08,10,0.09018,1
108105,2012-02-08,14,0.093074,1
108105,2012-02-08,30,0.083465,1
108105,2012-02-08,60,0.132245,1
108105,2012-02-08,91,0.185424,1
108105,2012-02-08,122,0.222842,1
108105,2012-02-08,152,0.236916,1
108105,2012-02-08,182,0.258694,1
108105,2012-02-08,273,0.259508,1
108105,2012-02-08,365,0.232944,1
108105,2012-02-08,547,0.205548,1
108105,2012-02-08,730,0.205189,1
108105,2012-02-08,1825,0.267104,1
108105,2012-02-09,10,0.083673,1
108105,2012-02-09,14,0.083184,1
108105,2012-02-09,30,0.080256,1
108105,2012-02-09,60,0.130584,1
108105,2012-02-09,91,0.184851,1
108105,2012-02-09,122,0.215801,1
108105,2012-02-09,152,0.235775,1
108105,2012-02-09,182,0.250996,1
108105,2012-02-09,273,0.259452,1
108105,2012-02-09,365,0.232931,1
108105,2012-02-09,547,0.204167,1
108105,2012-02-09,730,0.205,1
108105,2012-02-09,1825,0.266999,1
108105,2012-02-10,10,0.101107,1
108105,2012-02-10,14,0.094094,1
108105,2012-02-10,30,0.086038,1
108105,2012-02-10,60,0.12544,1
108105,2012-02-10,91,0.181859,1
108105,2012-02-10,122,0.216284,1
108105,2012-02-10,152,0.235008,1
108105,2012-02-10,182,0.251185,1
