secid,date,sic,low,high,open,close
108105,2014-02-11,9999,1800.41,1823.54,1800.45,1819.75
108105,2014-02-12,9999,1815.97,1826.55,1820.12,1819.26
108105,2014-02-13,9999,1809.22,1830.25,1814.82,1829.83
108105,2014-02-14,9999,1825.59,1841.65,1828.46,1838.63
108105,2014-02-18,9999,1835.01,1842.87,1839.03,1840.76
108105,2014-02-19,9999,1826.99,1847.5,1838.9,1828.75
108105,2014-02-20,9999,1824.58,1842.79,1829.24,1839.78
108105,2014-02-21,9999,1835.6,1846.13,1841.07,1836.25
108105,2014-02-24,9999,1836.78,1858.71,1836.78,1847.61
108105,2014-02-25,9999,1840.19,1852.91,1847.66,1845.12
108105,2014-02-26,9999,1840.66,1852.65,1845.79,1845.16
108105,2014-02-27,9999,1841.13,1854.53,1844.9,1854.29
108105,2014-02-28,9999,1847.67,1867.92,1855.12,1859.45
108105,2014-03-03,9999,1834.44,1857.68,1857.68,1845.73
108105,2014-03-04,9999,1849.23,1876.23,1849.23,1873.91
108105,2014-03-05,9999,1871.11,1876.53,1874.05,1873.81
108105,2014-03-06,9999,1874.18,1881.94,1874.18,1877.03
108105,2014-03-07,9999,1870.56,1883.57,1878.52,1878.04
108105,2014-03-10,9999,1867.04,1877.87,1877.86,1877.17
108105,2014-03-11,9999,1863.88,1882.35,1878.26,1867.63
108105,2014-03-12,9999,1854.38,1868.38,1866.15,1868.2
108105,2014-03-13,9999,1841.86,1874.4,1869.06,1846.34
108105,2014-03-14,9999,1839.57,1852.44,1845.07,1841.13
108105,2014-03-17,9999,1842.81,1862.3,1842.81,1858.83
108105,2014-03-18,9999,1858.92,1873.76,1858.92,1872.25
108105,2014-03-19,9999,1850.35,1874.14,1872.25,1860.77
108105,2014-03-20,9999,1854.63,1873.49,1860.09,1872.01
108105,2014-03-21,9999,1863.46,1883.97,1874.53,1866.52
108105,2014-03-24,9999,1849.69,1873.34,1867.67,1857.44
108105,2014-03-25,9999,1855.96,1871.87,1859.48,1865.62
108105,2014-03-26,9999,1852.56,1875.92,1867.09,1852.56
108105,2014-03-27,9999,1842.11,1855.55,1852.11,1849.04
108105,2014-03-28,9999,1850.07,1866.63,1850.07,1857.62
108105,2014-03-31,9999,1859.16,1875.18,1859.16,1872.34
108105,2014-04-01,9999,1873.96,1885.84,1873.96,1885.52
108105,2014-04-02,9999,1883.79,1893.17,1886.61,1890.9
108105,2014-04-03,9999,1882.65,1893.8,1891.43,1888.77
108105,2014-04-04,9999,1863.26,1897.28,1890.25,1865.09
108105,2014-04-07,9999,1841.48,1864.04,1863.92,1845.04
108105,2014-04-08,9999,1837.49,1854.95,1845.48,1851.96
108105,2014-04-09,9999,1852.38,1872.43,1852.64,1872.18
108105,2014-04-10,9999,1830.87,1872.53,1872.28,1833.08
108105,2014-04-11,9999,1814.36,1835.07,1830.65,1815.69
108105,2014-04-14,9999,1815.8,1834.19,1818.18,1830.61
108105,2014-04-15,9999,1816.29,1844.02,1831.45,1842.98
108105,2014-04-16,9999,1846.01,1862.31,1846.01,1862.31
108105,2014-04-17,9999,1856.72,1869.63,1861.73,1864.85
108105,2014-04-21,9999,1863.18,1871.89,1865.79,1871.89
108105,2014-04-22,9999,1872.57,1884.89,1872.57,1879.55
108105,2014-04-23,9999,1873.91,1879.75,1879.32,1875.39
108105,2014-04-24,9999,1870.24,1884.06,1881.97,1878.61
108105,2014-04-25,9999,1859.7,1877.72,1877.72,1863.4
108105,2014-04-28,9999,1850.61,1877.01,1865,1869.43
108105,2014-04-29,9999,1870.78,1880.6,1870.78,1878.33
108105,2014-04-30,9999,1872.69,1885.2,1877.1,1883.95
108105,2014-05-01,9999,1878.04,1888.59,1884.39,1883.68
108105,2014-05-02,9999,1878.5,1891.33,1885.3,1881.14
108105,2014-05-05,9999,1866.77,1885.51,1879.45,1884.66
108105,2014-05-06,9999,1867.72,1883.69,1883.69,1867.72
108105,2014-05-07,9999,1859.79,1878.83,1868.53,1878.21
108105,2014-05-08,9999,1870.05,1889.07,1877.39,1875.63
108105,2014-05-09,9999,1867.02,1878.57,1875.27,1878.48
108105,2014-05-12,9999,1880.03,1897.13,1880.03,1896.65
108105,2014-05-13,9999,1896.06,1902.17,1896.75,1897.45
108105,2014-05-14,9999,1885.77,1897.13,1897.13,1888.53
108105,2014-05-15,9999,1862.36,1888.16,1888.16,1870.85
108105,2014-05-16,9999,1864.82,1878.28,1871.19,1877.86
108105,2014-05-19,9999,1872.42,1886,1876.66,1885.08
108105,2014-05-20,9999,1868.14,1884.88,1884.88,1872.83
108105,2014-05-21,9999,1873.34,1888.8,1873.34,1888.03
108105,2014-05-22,9999,1885.39,1896.33,1888.19,1892.49
108105,2014-05-23,9999,1893.32,1901.26,1893.32,1900.53
108105,2014-05-27,9999,1902.01,1912.28,1902.01,1911.91
108105,2014-05-28,9999,1907.3,1914.46,1911.77,1909.78
108105,2014-05-29,9999,1909.82,1920.03,1910.6,1920.03
108105,2014-05-30,9999,1916.64,1924.03,1920.33,1923.57
108105,2014-06-02,9999,1915.98,1925.88,1923.87,1924.97
108105,2014-06-03,9999,1918.79,1925.07,1923.07,1924.24
108105,2014-06-04,9999,1918.6,1928.63,1923.06,1927.88
108105,2014-06-05,9999,1922.93,1941.74,1928.52,1940.46
108105,2014-06-06,9999,1942.41,1949.44,1942.41,1949.44
108105,2014-06-09,9999,1947.16,1955.55,1948.97,1951.27
108105,2014-06-10,9999,1944.64,1950.86,1950.34,1950.79
108105,2014-06-11,9999,1940.08,1949.37,1949.37,1943.89
108105,2014-06-12,9999,1925.78,1943.35,1943.35,1930.11
108105,2014-06-13,9999,1927.69,1937.3,1930.8,1936.16
108105,2014-06-16,9999,1930.91,1941.15,1934.84,1937.78
108105,2014-06-17,9999,1933.55,1943.69,1937.15,1941.99
108105,2014-06-18,9999,1939.29,1957.74,1942.73,1956.98
